ASV.ID,5m Dec2014,25m Dec2014,45m Dec2014,75m Dec2014,100m Dec2014,125m Dec2014,155m Dec2014,175m Dec2014,300m Dec2014,400m Dec2014,500m Dec2014,770m Dec2014,5m Apr2015,25m Apr2015,75m Apr2015,100m Apr2015,125m Apr2015,150m Apr2015,175m Apr2015,300m Apr2015,400m Apr2015,500m Apr2015,770m Apr2015,5m Aug2015,25m Aug2015,45m Aug2015,75m Aug2015,100m Aug2015,125m Aug2015,150m Aug2015,175m Aug2015,300m Aug2015,400m Aug2015,500m Aug2015,770m Aug2015,5m Dec2015,25m Dec2015,45m Dec2015,75m Dec2015,100m Dec2015,125m Dec2015,150m Dec2015,175m Dec2015,300m Dec2015,400m Dec2015,500m Dec2015,770m Dec2015,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Taxa
00abac989360edb2b8339d7d158d27c3,0,0,0,0,0,0,0,0,0,451.2495088,0,0,0,0,0,0,917.7116607,0,0,0,0,0,0,773.0719369,520.8941773,0,0,0,742.4679092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Dinophyta,Syndiniales,Dino-Group-V,Dino-Group-V_X,Dino-Group-V_XX,Dino-Group-V_XX_sp.;,Alveolates-Syndiniales
00abacee594ce16f4fa5dfeaebfe666c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863.2636628,644.9166005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Dinophyta,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.;,Alveolates-Syndiniales
00ac4998458af2d99a7b433c8c215e5f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.91059858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Opisthokonta,XXX,XXX,XXX,XXX,XXX,XXX,Opisthokonts-Other
00ac7e43e48224d4cfca60c3cc42874e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.19910561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Stramenopiles,Stramenopiles_X,MAST,MAST-7,XXX,XXX,XXX,Stramenopiles-MAST
00ae3b73505d746efbc91abc19eee74d,0,0,0,272.1118797,292.4933275,0,0,0,0,0,0,0,0,0,0,0,287.9095406,0,0,0,0,0,0,0,0,0,292.2236073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Ciliophora,Phyllopharyngea,Cyrtophoria,Chlamydodontidae,Chlamydodontidae_X,Chlamydodontidae_X_sp.;,Alveolates-Ciliates
00b96431e9f1bd342b2db3697380259a,0,0,0,0,0,0,0,0,0,180.4998035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Dinophyta,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,XXX,XXX,Alveolates-Dinophyceae
00c64572f93e9f25bef7344bd6e03192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.6018293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Dinophyta,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,XXX,XXX,Alveolates-Dinophyceae
00cda254aef50514beb79f827f4a4ffc,0,0,0,0,0,0,0,0,0,0,861.3767553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Dinophyta,XXX,XXX,XXX,XXX,XXX,Dinoflagellates-other
00d03d3037fc2132dced7a5c8fe2a021,0,0,0,0,0,0,0,0,0,0,0,0,201.8920029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Ciliophora,Phyllopharyngea,Cyrtophoria,Chlamydodontidae,Chlamydodon,Chlamydodon_sp.;,Alveolates-Ciliates
00d71f7635b4322f1f52daca31878ad9,0,0,0,621.9700107,857.9804275,1638.198716,2074.825986,765.6848074,0,0,0,0,0,0,1126.036404,1513.647205,4048.727915,1253.894596,2310.907041,0,0,0,0,0,0,0,0,2543.164257,1596.306005,2641.537933,0,0,0,0,0,0,1363.622206,1065.252873,1027.418305,0,4917.260099,1817.26781,1649.893638,0,0,0,0,Eukaryota,Stramenopiles,Stramenopiles_X,MAST,MAST-25,MAST-25_X,MAST-25_XX,MAST-25_XX_sp.;,Stramenopiles-MAST
00dcb93be50f9d1eac2f26ef7feacbb0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.0708194,0,0,0,0,0,0,0,Eukaryota,Opisthokonta,Opisthokonta_X,Opisthokonta_XX,Opisthokonta_XXX,Opisthokonta_XXXX,Opisthokonta_XXXXX,Opisthokonta_XXXXX_sp.;,Opisthokonts-Other
00dd52e3a36699e8f1931eaf84d1a8f3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.2818643,0,0,0,0,0,0,0,0,Eukaryota,Stramenopiles,Stramenopiles_X,MAST,MAST-3,MAST-3K,MAST-3K_X,MAST-3K_X_sp.;,Stramenopiles-MAST
00ddb5d282ffe24446fe7b0d29510240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.82300399,0,0,0,0,Eukaryota,Rhizaria,Radiolaria,Acantharea,Acantharea_X,Acantharea_XX,Acantharea_XXX,Acantharea_XXX_sp.;,Rhizaria-Radiolaria
00eb449a13172684fef0761b4f2cab83,0,0,0,0,0,0,0,752.9233939,261.6365626,0,0,0,0,0,0,0,0,0,0,330.7400879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765.1680639,0,0,0,0,Eukaryota,Stramenopiles,Stramenopiles_X,Labyrinthulea,Labyrinthulales,Labyrinthulaceae,Labyrinthulaceae_X,Labyrinthulaceae_X_sp.;,Stramenopiles-Other
00f285a69dbf9f9d9970280b4b7f9574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.19172597,210.8381194,0,0,0,0,0,0,0,0,0,0,1566.396608,433.8797928,148.6399357,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Dinophyta,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-29,Dino-Group-II-Clade-29_X,Dino-Group-II-Clade-29_X_sp.;,Alveolates-Syndiniales
010784b404de67140f1e58f6419aa1a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.34843482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.6548424,0,Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,Dictyochophyceae_X,Pedinellales,Pedinellales_X,Pedinellales_X_sp.;,Stramenopiles-Ochrophyta
01159fa819b3f0e00df9393251693d61,0,0,0,0,0,0,0,0,902.646141,799.3562727,2673.238206,943.0610745,0,0,0,0,107.9660777,64.85661702,0,0,228.4311776,716.5385966,402.3304132,0,0,0,0,216.4395112,0,0,0,455.50038,1196.104118,0,0,0,0,0,0,0,0,0,0,1273.958763,768.6867039,0,3703.019934,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Choreotrichida,Leegaardiellidae_B,Leegaardiella,Leegaardiella_sp.;,Alveolates-Ciliates
011635418ec34313de9e97ed08e3e2f0,0,0,0,0,0,2027.473658,713.6344156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Choreotrichida,Leegaardiellidae_B,Leegaardiella,Leegaardiella_sp.;,Alveolates-Ciliates
0118016e0a19046a58fa97531b364b89,0,0,0,0,0,0,383.2481121,280.751096,928.8097973,2501.211563,1470.281013,0,0,0,0,0,0,0,0,1089.49676,1640.551185,0,0,0,0,0,0,0,0,0,0,420.4618892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Dinophyta,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Prorocentrum,Prorocentrum_sp.;,Alveolates-Dinophyceae
0119de68583f08260f09be55a6b36e53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.5475404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Choreotrichida,Leegaardiellidae_B,Leegaardiella,Leegaardiella_sp.;,Alveolates-Ciliates
011f56e8fb3edeb1da5180ceae848364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.19910561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Dinophyta,Syndiniales,Dino-Group-III,Dino-Group-III_X,Dino-Group-III_XX,Dino-Group-III_XX_sp.;,Alveolates-Syndiniales
011f807ca022a54494a5074dec03e778,0,0,0,0,0,0,0,0,0,0,0,0,504.7300072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.1865809,0,0,0,0,0,0,0,0,0,Eukaryota,Rhizaria,Radiolaria,Polycystinea,Spumellarida,Spongodiscidae-Coccodiscidae,Spongodiscidae-Coccodiscidae_X,Spongodiscidae-Coccodiscidae_X_sp.;,Rhizaria-Radiolaria
01243bea3d2074d6a85aac035967e7fc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.535061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Rhizaria,Radiolaria,Polycystinea,Nassellaria,Plagiacanthoidea,Lithomelissa,XXX,Rhizaria-Radiolaria
0126a2e4de3cb05b801db04948aefcba,0,0,0,0,0,0,0,0,156.9819376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.65427663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Hacrobia,Telonemia,Telonemia_X,Telonemia_XX,Telonemia-Group-2,Telonemia-Group-2_X,Telonemia-Group-2_X_sp.;,Hacrobia-other
012801899af0ac2a25da5bcbc830ebc3,0,0,0,0,0,0,0,0,4238.512314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Strombidiida,Strombidiidae_G,Strombidiidae_G_X,Strombidiidae_G_X_sp.;,Alveolates-Ciliates
0137eb9cbda2f315a6b265614617fe60,0,0,0,0,0,0,303.9553992,0,0,0,0,0,0,0,0,0,0,259.4264681,131.3015364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.1095778,223.1732399,47.82300399,0,0,0,0,Eukaryota,Rhizaria,Cercozoa,XXX,XXX,XXX,XXX,XXX,Rhizaria-Cercozoa
013e9532df22646feb1bc8e9b2bf3df6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470.2080784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Dinophyta,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,XXX,XXX,Alveolates-Dinophyceae
013ebb6c7c819bb7a94dfc0ee05aa944,0,0,0,0,58.49866551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Dinophyta,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-55,Dino-Group-II-Clade-55_X,Dino-Group-II-Clade-55_X_sp.;,Alveolates-Syndiniales
0141303584a3ce0460f6fe8fabb364bb,0,495.8361192,518.6206242,621.9700107,604.4862103,0,0,0,0,0,0,0,0,0,221.5153582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Scuticociliatia,Scuticociliatia-1,Scuticociliatia-1_X,Scuticociliatia-1_X_sp.;,Alveolates-Ciliates
014249c46dd83908588ffd6824e38e63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.4970604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Dinophyta,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-5,Dino-Group-I-Clade-5_X,Dino-Group-I-Clade-5_X_sp.;,Alveolates-Syndiniales
01449a37ec72a719bcdcbbea699bdb20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.91922636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Dinophyta,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,XXX,XXX,Alveolates-Dinophyceae
0146dde243b672179d69288c4bc367b4,2307.321764,2260.429367,2558.528413,2293.514415,2905.43372,2303.210076,660.772607,906.0603554,1072.709907,0,0,0,4118.596858,4881.040337,3304.270759,4690.642988,2357.259364,1491.702191,1470.577208,1050.586162,0,0,0,1455.952148,2840.11349,5038.03905,3652.795091,1975.01054,0,0,0,2067.270955,1002.141288,0,0,1964.211619,2789.227239,2403.012294,2517.174846,2074.098734,0,1243.393765,980.3715818,0,0,0,0,Eukaryota,Alveolata,Dinophyta,Syndiniales,Dino-Group-III,Dino-Group-III_X,Dino-Group-III_XX,Dino-Group-III_XX_sp.;,Alveolates-Syndiniales
0146f07076ed18671fb828a963e7d419,0,0,0,0,0,0,0,0,0,0,0,251.4829532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,XXX,XXX,XXX,XXX,XXX,XXX,XXX,Other/unknown
01470057795c247fc2562078817b7549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731.7322967,380.2293622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Dinophyta,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,XXX,XXX,Alveolates-Dinophyceae
0147c963cb2923e0d22ece3e3d0254e0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.0708194,0,0,0,0,0,0,0,Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,Dictyochophyceae_X,XXX,XXX,XXX,Stramenopiles-Ochrophyta
0158233b91ce3d9fe2188fb0804b2696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.05637285,0,0,0,0,0,0,0,0,Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,Dictyochophyceae_X,Pedinellales,Pedinellales_X,Pedinellales_X_sp.;,Stramenopiles-Ochrophyta
0158c26070f18f1fbbc60ef4988ca4ae,0,0,0,0,0,0,0,0,1687.555829,0,0,610.7443149,0,0,0,0,0,0,0,0,5004.719437,0,0,0,0,0,0,0,0,0,0,770.8467969,0,405.3033608,20399.73515,0,0,0,0,0,0,0,0,0,0,0,619.6288336,Eukaryota,Rhizaria,Radiolaria,Acantharea,Acantharea-Group-I,Acantharea-Group-I_X,Acantharea-Group-I_XX,Acantharea-Group-I_XX_sp.;,Rhizaria-Radiolaria
